鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
內湖區,房地(土地+建物)+車位,行善路271~300號,49.87,都市：其他:住商混合區(為容積接收區)。,,,1091007,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,299.99,3,2,3,有,有,62000000,219144,坡道平面,32.13,3300000,,RPOQMLOKIIPFFCA77DA,158.48,14.9,15.89,有,
中山區,房地(土地+建物)+車位,新生北路三段56巷1~30號,21.97,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091207,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981021,182.51,3,2,2,有,有,37000000,202740,坡道平面,41.72,0,,RPVQMLPJJHGGFCA67DA,83.51,0.0,8.83,有,2.0
南港區,房地(土地+建物)+車位,向陽路258巷1~30號,34.95,都市：其他:住宅區(供住宅使用)。,,,1100106,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950803,172.76,3,2,2,有,有,29500000,170757,坡道平面,37.84,0,其他增建;,RPTNMLQJKHGGFDA47DA,85.0,4.0,9.19,有,
大安區,房地(土地+建物),瑞安街208巷61弄1~30號,63.08,都市：其他:第三種住宅區。,,,1091225,土地1建物3車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761231,343.87,6,2,3,有,有,95880000,278826,,0.0,0,陽台外推;其他增建;,RPOOMLKLJHGGFFA76DA,222.61,3.44,21.3,有,
大安區,房地(土地+建物)+車位,和平東路三段451~480號,15.27,都市：其他:第三種住宅區。,,,1091108,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,125.88,2,2,1,有,無,25000000,254247,坡道平面,36.99,2400000,,RPXQMLMJKHGGFFA97DA,49.22,0.0,7.03,有,
大安區,房地(土地+建物),和平東路三段421~450號,11.93,都市：其他:第三種住宅區。,,,1060517,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,70.09,2,1,1,有,無,16500000,235412,,0.0,0,,RPORMLMJKHGGFFA17DA,40.76,0.0,3.58,有,
大安區,房地(土地+建物)+車位,和平東路三段451~480號,11.66,都市：其他:第三種住宅區。,,,1060213,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,104.66,2,1,1,有,無,17580000,226541,坡道平面,36.99,2250000,,RPXRMLMJKHGGFFA08DA,39.29,0.0,3.52,有,
大安區,房地(土地+建物)+車位,仁愛路四段408巷1~30號,30.41,都市：其他:第四種住宅區。,,,1100123,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011113,231.37,3,2,2,有,有,82000000,354411,坡道平面,0.0,4500000,,RPRNMLNJKHGGFFA17DA,113.14,4.92,11.3,有,8.0
大安區,房地(土地+建物)+車位,和平東路三段451~480號,16.51,都市：其他:第三種住宅區。,,,1060920,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,137.86,2,2,1,有,無,23900000,229578,坡道平面,44.21,2400000,,RPPNMLPJKHGGFFA17DA,54.38,0.0,6.31,有,
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.11,都市：其他:第三種住宅區。,,,1060118,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,135.64,2,2,1,有,無,24880000,243137,坡道平面,44.21,2650000,,RPQNMLPJKHGGFFA27DA,51.59,0.0,7.67,有,
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.08,都市：其他:第三種住宅區。,,,1060312,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,136.6,2,2,1,有,無,25000000,241806,坡道平面,42.93,2350000,,RPRNMLPJKHGGFFA37DA,51.6,0.0,7.66,有,
