鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),景文街91~120號,8.53,都市：其他:第三種商業區。,,,1100104,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870220,65.71000000000001,0,1,1,有,有,12300000,187186,,0.0,0,,RPROMLSLJHGGFAA37DA,44.27,0.0,4.08,有,
文山區,房地(土地+建物),興隆路二段275巷1弄1~30號,22.71,都市：其他:第三種住宅區。,,,1100109,土地2建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831018,90.33,2,2,1,有,有,14750000,163290,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLTJKHGGFAA07DA,58.4,1.47,7.9,有,
文山區,房地(土地+建物)+車位,下崙路11巷1~30號,36.55,都市：其他:第三種住宅區。,,,1100109,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060106,186.78,3,2,2,有,有,22800000,122069,坡道平面,39.47,0,,RPQNMLMJKHGGFAA09DA,78.97,9.33,8.38,有,
文山區,房地(土地+建物)+車位,下崙路11巷1~30號,36.55,都市：其他:第三種住宅區。,,,1100110,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060106,186.78,3,2,2,有,有,22800000,122069,坡道平面,0.0,0,,RPWPMLOJKHGGFAA47DA,78.97,9.33,8.38,有,001
中正區,房地(土地+建物),杭州南路一段77巷1~30號,19.6,都市：其他:第三種住宅區。,,,1091202,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050418,75.55,2,2,1,有,有,25000000,330907,,0.0,0,,RPORMLMLJHGGFBA86DA,41.29,3.39,5.49,有,
萬華區,房地(土地+建物),東園街67巷1~30號,25.0,都市：其他:第三種住宅區。,,,1091117,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.63,3,2,1,有,無,7500000,104705,,0.0,0,,RPROMLNJKHGGFBA86DA,71.63,0.0,0.0,無,
萬華區,房地(土地+建物),東園街67巷1~30號,25.0,都市：其他:第三種住宅區。,,,1091117,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.63,3,2,1,有,無,7200000,100517,,0.0,0,,RPSOMLNJKHGGFBA96DA,71.63,0.0,0.0,無,
萬華區,房地(土地+建物),東園街67巷1~30號,25.0,都市：其他:第三種住宅區。,,,1091117,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.63,3,2,1,有,無,8000000,111685,,0.0,0,,RPTOMLNJKHGGFBA07DA,71.63,0.0,0.0,無,
萬華區,房地(土地+建物),和平西路三段382巷2弄1~30號,30.5,都市：其他:第三種住宅區。,,,1100103,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641205,92.39,0,2,1,有,無,8700000,94166,,0.0,0,陽台外推;其他增建;,RPQPMLPJKHGGFBA07DA,77.98,0.0,14.42,無,
