鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物),向上南路一段91~120號,41.67,都市：其他:第二種住宅區,,,1091211,土地3建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0731030,129.73,3,2,2,有,無,9000000,69375,,0.0,0,陽台外推;其他增建;,RPSQMLQKKIPFFAB48DA,114.64,6.86,0.0,無,
西區,房地(土地+建物)+車位,忠明南路361~390號,13.47,都市：其他:第三種住宅區。,,,1091223,土地2建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880121,134.07,3,2,2,有,有,9500000,69439,坡道機械,6.62,650000,陽台外推;,RPRRMLNLKIPFFAB28DA,84.08,12.7,0.0,有,
南區,房地(土地+建物),仁和路214巷25弄1~30號,76.28,都市：其他:第二種住宅區,,,1091114,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000308,228.76,4,3,4,有,有,21880000,95646,,0.0,0,陽台外推;其他增建;,RPPPMLSLKIPFFAB38DA,204.65,24.11,0.0,無,
東區,房地(土地+建物),東光園路100巷6弄151~180號,123.0,都市：其他:第七種住宅區,,,1091119,土地2建物1車位0,全,二層,透天厝,住工用,加強磚造,0750708,139.53,2,1,1,有,無,10500000,75253,,0.0,0,頂樓加蓋;其他增建;包含公共設施保留地用地;,RPSSMLKKKIPFFAB08DA,131.34,8.19,0.0,無,
西區,房地(土地+建物),華美街361~390號,30.54,都市：其他:第二種住宅區,,,1091229,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690821,73.0,3,2,2,有,無,5800000,79452,,0.0,0,,RPVQMLRJJHGGFAB77DA,73.0,0.0,0.0,無,
東區,房地(土地+建物),東光園路100巷6弄151~180號,123.0,都市：其他:第七種住宅區,,,1091119,土地2建物1車位0,全,二層,透天厝,住工用,加強磚造,0750708,147.82,3,1,2,有,無,10500000,71032,,0.0,0,頂樓加蓋;其他增建;包含公共設施保留地用地;,RPROMLOKJHGGFAB96DA,128.05,19.77,0.0,無,
西區,房地(土地+建物),林森路121~150號,124.0,都市：其他:第二種住宅區,,,1091028,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0451001,82.93,3,2,2,有,無,36500000,440130,,0.0,0,,RPXQMLTLJHGGFAB38DA,82.93,0.0,0.0,無,
南區,房地(土地+建物)+車位,建國南路二段31~60號,21.79,都市：其他:第二種住宅區,,,1100117,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060525,128.26999999999998,2,2,1,有,有,9700000,75622,坡道平面,39.17,0,,RPXNMLMJKHGGFAB27DA,53.97,6.94,0.0,有,001
西區,房地(土地+建物)+車位,大忠南街1~30號,14.75,都市：其他:第二種住宅區,,,1091202,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811105,110.12,2,2,2,有,有,7860000,71377,坡道平面,0.0,0,,RPSOMLPJKHGGFAB17DA,97.79,9.04,0.0,有,
南區,土地,下橋子頭段181~210地號,91.0,,,,1100118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16612050,182550,,0.0,0,政府機關標讓售;,RPUSMLPJKHGGFAB77DA,0.0,0.0,0.0,無,
南區,房地(土地+建物),和昌街241~270號,96.0,都市：其他:第二種住宅區,,,1091209,土地4建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0680807,211.3,6,3,3,有,無,16800000,79508,,0.0,0,其他增建;,RPPNMLSJKHGGFAB07DA,200.96,0.0,10.34,無,002
南區,房地(土地+建物),南平路211~240號,7.55,都市：其他:第一種商業區,,,1100112,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800917,89.55999999999999,3,2,1,有,有,5000000,55828,,0.0,0,陽台外推;,RPUNMLOJKHGGFAB17DA,63.2,7.37,0.0,有,003
南區,房地(土地+建物)+車位,福田五街1~30號,28.37,都市：其他:第二種住宅區,,,1091030,土地2建物1車位2,十九層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041221,243.64,4,2,2,有,有,18000000,73879,坡道平面,66.18,0,,RPQPMLOJKHGGFAB96DA,107.12,12.08,0.0,有,
西區,房地(土地+建物),華美街211~240號,24.28,都市：其他:第二種住宅區,,,1100106,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731204,90.06,3,2,2,有,無,5120000,56851,,0.0,0,,RPTPMLOJKHGGFAB27DA,83.05,7.01,0.0,無,004
北屯區,房地(土地+建物)+車位,崇德八路一段151~180號,28.25,都市：其他:第三種住宅區。,,,1061110,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090806,215.19,4,2,2,有,有,20330000,106728,坡道平面,50.94,2800000,,RPUQMLQLIIPFFBB68DA,100.23,0.0,11.01,有,
北屯區,房地(土地+建物)+車位,松竹路一段871~900號,20.11,都市：其他:第一種商業區,,,1091205,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041123,163.74,3,2,2,有,有,11700000,73957,坡道平面,24.47,1400000,,RPXTMLSJKIPFFBB86DA,79.18,5.12,9.16,有,
北屯區,房地(土地+建物)+車位,中清路二段742巷31~60號,28.87,都市：其他:第二種住宅區,,,1080626,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090904,135.63,3,1,2,有,有,10500000,84833,坡道平面,28.36,1400000,土地款:462萬 建物款:588萬,RPROMLKLKIPFFBB77DA,61.65,0.0,10.22,有,
北屯區,房地(土地+建物)+車位,中清路二段742巷31~60號,28.87,都市：其他:第二種住宅區,,,1080626,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090904,135.63,3,1,2,有,有,10500000,84833,坡道平面,28.36,1400000,土地款:462萬 建物款:588萬,RPSOMLKLKIPFFBB87DA,61.65,0.0,10.22,有,
北屯區,房地(土地+建物),熱河路一段61~90號,16.21,都市：其他:第二種住宅區,,,1091229,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710811,54.03,2,1,1,有,有,3450000,63853,,0.0,0,,RPWPMLLMKIPFFBB58DA,46.49,0.0,1.8,有,005
北屯區,房地(土地+建物),崇德二路二段61~90號,80.0,都市：其他:第二種住宅區,,,1100102,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0751027,120.12,4,3,2,有,無,16000000,133200,,0.0,0,頂樓加蓋;其他增建;未登記建物;,RPTPNLMJJHGGFBB17DA,97.5,18.23,4.39,無,
北屯區,房地(土地+建物)+車位,山西路三段91~120號,24.72,都市：其他:第三種住宅區。,,,1070901,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091112,201.3,3,2,2,有,有,16230000,106434,坡道平面,73.24,2600000,含傢俱設備費;預售屋、或土地及建物分次登記案件;,RPUQNLOJJHGGFBB57DA,76.31,0.0,8.43,有,
北屯區,土地,美和段541~570地號,463.88,,,,1090928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000000,172458,,0.0,0,,RPSUNLOJJHGGFBB77DA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,山西路三段91~120號,15.87,都市：其他:第三種住宅區。,,,1080607,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091112,134.46,2,1,1,有,有,12150000,111917,坡道平面,36.62,1200000,含傢俱設備費;預售屋、或土地及建物分次登記案件;,RPRRNLRJJHGGFBB67DA,60.02,0.0,4.74,有,
北屯區,房地(土地+建物)+車位,山西路三段91~120號,21.59,都市：其他:第三種住宅區。,,,1091118,土地1建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091112,174.14999999999998,2,2,1,有,有,13850000,109504,坡道平面,73.24,2800000,含傢俱設備費50000元;預售屋、或土地及建物分次登記案件;,RPRQNLLKJHGGFBB07DA,59.94,3.2,4.74,有,
北區,房地(土地+建物),德化街91~120號,30.3,都市：其他:第二種住宅區,,,1100103,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711230,85.54,4,2,2,有,無,4650000,54361,,0.0,0,陽台外推;其他增建;,RPWOMLNKJHGGFBB47DA,64.36,0.0,7.67,無,
北屯區,房地(土地+建物)+車位,山西路三段91~120號,18.99,都市：其他:第三種住宅區。,,,1070917,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091112,164.68,3,2,2,有,有,15110000,107059,坡道平面,36.62,1400000,含傢俱設備費;預售屋、或土地及建物分次登記案件;,RPPSMLSKJHGGFBB67DA,76.31,0.0,8.43,有,
北屯區,房地(土地+建物),興安路二段405巷31~60號,81.0,都市：其他:第二種住宅區,,,1100106,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690926,99.4,4,3,3,有,無,10600000,106640,,0.0,0,,RPVSMLSKJHGGFBB28DA,99.4,0.0,0.0,無,
北屯區,土地,景東段61~90地號,443.91,,,,1100104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51027000,114949,,0.0,0,未登記建物;,RPXNMLTKJHGGFBB08DA,0.0,0.0,0.0,無,006
北屯區,房地(土地+建物)+車位,山西路三段91~120號,15.88,都市：其他:第三種住宅區。,,,1091002,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091112,137.85000000000002,2,2,1,有,有,12280000,109454,坡道平面,36.62,1200000,含傢俱設備費;預售屋、或土地及建物分次登記案件;,RPTWMLMLJHGGFBB97DA,60.07,3.28,4.74,有,
