鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物)+車位,河西一路1441~1470號,10.64,都市：其他:特定第五種住宅區,,,1100110,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960510,84.91,2,2,1,有,有,6450000,75963,坡道機械,8.25,0,,RPSNMLKKJHGGFAE86DA,43.39,7.75,0.0,有,001
鼓山區,房地(土地+建物),美術東二路481~510號,13.57,都市：其他:特定第五種住宅區,,,1100110,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931208,89.99000000000001,2,2,1,有,有,4500000,50006,,0.0,0,,RPTNMLKKJHGGFAE96DA,59.97,4.79,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.27,都市：其他:第五種商業區,,,1080719,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,90.34,0,0,0,無,有,8250000,91322,,0.0,0,,RPOOMLKKJHGGFAE56DA,47.7,9.75,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.27,都市：其他:第五種商業區,,,1080709,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,90.34,0,0,0,無,有,7880000,87226,,0.0,0,,RPPOMLKKJHGGFAE66DA,47.7,9.75,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,4.93,都市：其他:第五種商業區,,,1080717,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,86.53,0,0,0,無,有,7960000,91991,,0.0,0,,RPXOMLKKJHGGFAE47DA,45.17,9.95,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.33,都市：其他:第五種商業區,,,1080719,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,82.65,0,0,0,無,有,7470000,90381,,0.0,0,,RPVOMLPKJHGGFAE77DA,48.34,4.15,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.33,都市：其他:第五種商業區,,,1080305,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,82.65,0,0,0,無,有,6390000,77314,,0.0,0,,RPWOMLPKJHGGFAE87DA,48.34,4.15,0.0,有,
鼓山區,房地(土地+建物)+車位,裕誠路1771~1800號,21.25,都市：其他:第四種商業區,,,1100111,土地1建物1車位2,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,339.27,4,2,3,有,有,29280000,86303,坡道平面,35.96,0,含裝潢費;,RPTOMLKLJHGGFAE17DA,176.84,31.73,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.33,都市：其他:第五種商業區,,,1071222,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,82.65,0,0,0,無,有,6550000,79250,,0.0,0,,RPTPMLQLJHGGFAE87DA,48.34,4.15,0.0,有,
前金區,房地(土地+建物)+車位,中正四路151~180號,8.33,都市：其他:第五種商業區,,,1081218,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,130.61,0,0,0,無,有,12450000,95322,坡道機械,5.4,0,,RPVPMLQLJHGGFAE08DA,71.12,8.93,0.0,有,
鼓山區,房地(土地+建物)+車位,美術北五街121~150號,25.18,都市：其他:特定第五種住宅區,,,1100115,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030508,296.83,3,1,3,有,有,13000000,43796,坡道平面,26.54,0,親友、員工、共有人或其他特殊關係間之交易;,RPQOMLRLJHGGFAE57DA,154.59,23.97,0.0,有,002
前金區,房地(土地+建物)+車位,光復二街1~30號,13.22,都市：其他:第四種商業區,,,1091201,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091008,158.16,3,2,2,有,有,12110000,76568,其他,9.0,0,,RPQNMLKMJHGGFAE86DA,83.41,12.74,0.0,有,
前金區,房地(土地+建物)+車位,光復二街1~30號,13.22,都市：其他:第四種商業區,,,1091118,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091008,158.16,3,2,2,有,有,12070000,76315,其他,9.0,0,,RPRNMLKMJHGGFAE96DA,83.41,12.74,0.0,有,
前金區,房地(土地+建物)+車位,光復二街1~30號,15.19,都市：其他:第四種商業區,,,1090826,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091008,182.37,3,2,2,有,有,12650000,64810,坡道平面,16.5,1900000,,RPSNMLKMJHGGFAE07DA,94.86,12.0,0.0,有,
前金區,房地(土地+建物)+車位,光復三街31~60號,12.62,都市：其他:第四種商業區,,,1090517,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091106,163.64,3,2,2,有,有,12200000,72459,坡道平面,22.87,2000000,,RPTNMLKMJHGGFAE17DA,79.79,10.93,0.0,有,
前金區,房地(土地+建物)+車位,光復三街31~60號,9.76,都市：其他:第四種商業區,,,1091017,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091106,127.24,2,2,1,有,有,9130000,70231,坡道平面,22.87,1800000,,RPVNMLKMJHGGFAE37DA,58.09,9.18,0.0,有,
前金區,房地(土地+建物)+車位,光復三街31~60號,8.94,都市：其他:第四種商業區,,,1081128,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091106,115.96000000000001,2,2,1,有,有,8800000,71274,其他,14.24,1550000,,RPQOMLLJKHGGFAE86DA,56.42,9.06,0.0,有,
前金區,房地(土地+建物)+車位,光復三街31~60號,9.76,都市：其他:第四種商業區,,,1090307,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091106,127.24,2,2,1,有,有,9450000,72339,坡道平面,22.87,1900000,,RPROMLLJKHGGFAE96DA,58.09,9.18,0.0,有,
鼓山區,房地(土地+建物),鼓山二路182巷37弄1~30號,62.51,都市：其他:第三種住宅區。,,,1100102,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920328,160.19,4,2,2,有,無,9700000,60553,,0.0,0,,RPSNMLOJKHGGFAE27DA,147.93,12.26,0.0,無,
鼓山區,房地(土地+建物)+車位,明誠四路301~330號,28.9,都市：其他:特定第四種商業區,,,1091226,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971001,308.28999999999996,4,2,2,有,有,25980000,84271,坡道平面,45.52,0,有裝潢.無增建,RPTNMLPJKHGGFAE47DA,157.85,20.74,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.33,都市：其他:第五種商業區,,,1071108,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,82.65,0,0,0,無,有,6890000,83364,,0.0,0,,RPPPMLMLJHGGFAE07DA,48.34,4.15,0.0,有,
苓雅區,房地(土地+建物),文橫二路1~30號,6.39,都市：其他:第五種商業區,,,1100104,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710430,58.25,1,1,1,有,有,1960000,33648,,0.0,0,,RPUNMLOJJHGGFBE47DA,34.26,11.02,0.0,有,
新興區,房地(土地+建物),中正三路31~60號,26.67,都市：其他:第五種商業區,,,1100104,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710505,241.86,4,2,2,有,有,7400000,30596,,0.0,0,,RPVNMLRJJHGGFBE87DA,183.28,0.0,8.08,有,
