鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),建國街54巷1~30號,25.25,都市：其他:住宅區,,,1091205,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0630416,91.0,3,2,1,有,無,10650000,117033,,0.0,0,陽台外推;其他增建;,RPUNMLPJJHGGFAF57DA,91.0,0.0,0.0,無,
土城區,房地(土地+建物),立雲街5巷1~30號,8.58,都市：其他:第二種商業區,,,1100109,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870626,99.24,3,2,2,有,有,10950000,110339,,0.0,0,,RPPPMLPKJHGGFAF37DA,80.21,1.32,7.35,有,
板橋區,房地(土地+建物)+車位,忠孝路48巷31~60號,23.96,都市：其他:住宅區,,,1091025,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940531,144.48000000000002,3,2,2,有,有,18060000,135974,一樓平面,27.84,2200000,陽台外推;其他增建;,RPOSMLTKJHGGFAF97DA,78.35,3.27,8.0,有,
土城區,房地(土地+建物)+車位,金城路二段121~150號,15.7,都市：其他:第二種住宅區,,,1100121,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090317,150.41,3,2,2,有,有,15780000,104913,坡道平面,30.9,0,,RPWOMLPLJHGGFAF08DA,65.47,6.13,9.06,有,001
板橋區,房地(土地+建物),南雅東路1~30號,10.58,都市：其他:住宅區,,,1091227,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960814,112.97999999999999,3,2,2,有,有,16300000,144273,,0.0,0,陽台外推;,RPQSMLRLJHGGFAF08DA,69.08,4.8,7.53,有,
土城區,房地(土地+建物),清水路331~360號,4.92,都市：其他:第二種住宅區,,,1100103,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851220,67.73,2,2,1,有,有,7080000,104533,,0.0,0,,RPPQMLLJKHGGFAF07DA,55.21,0.0,6.08,有,002
板橋區,房地(土地+建物)+車位,區運路91~120號,19.4,都市：其他:第二種特定專用區,,,1091130,土地1建物1車位2,六層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980115,323.03,3,2,2,有,有,48000000,148593,坡道平面,52.08,0,,RPPSMLLJKHGGFAF27DA,166.01,5.87,20.63,有,003
土城區,房地(土地+建物),福安街52巷1~30號,31.65,都市：其他:道路用地,,,1100118,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790118,105.4,3,2,2,有,無,7680000,72865,,0.0,0,頂樓加蓋;,RPXUMLLJKHGGFAF28DA,85.62,0.0,9.5,無,
板橋區,房地(土地+建物),文化路一段270巷1~30號,83.0,都市：其他:住宅區,,,1100104,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,116.1,5,3,3,有,無,33000000,284238,,0.0,0,頂樓增建格局:1房1廳1衛未登記建物;,RPVPMLMJKHGGFAF67DA,116.1,0.0,0.0,無,
板橋區,房地(土地+建物)+車位,金門街301~330號,39.68,都市：其他:第一種住宅區,,,1100202,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980917,242.82,4,2,2,有,有,22650000,93279,坡道平面,30.0,0,其他增建;,RPPQMLMJKHGGFAF17DA,128.99,6.24,17.72,有,004
板橋區,房地(土地+建物),重慶路290巷22弄1~30號,22.06,都市：其他:住宅區,,,1100105,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700402,73.31,3,2,1,有,無,7280000,99304,,0.0,0,其他增建;,RPVNMLTLJHGGFAF28DA,73.31,0.0,0.0,無,
