鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,同德五街1~30號,17.61,都市：其他:商業區,,,1091020,土地1建物1車位1,十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090106,210.83999999999997,3,2,3,有,有,24300000,119255,坡道平面,27.2,2400000,,RPWQMLRKJIPFFAH86DA,108.11,0.0,13.27,有,
桃園區,房地(土地+建物)+車位,藝文一街61~90號,18.04,都市：其他:商業區,,,1091022,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1090106,213.3,0,0,0,無,有,23600000,114992,坡道平面,27.2,2200000,,RPXQMLRKJIPFFAH96DA,110.96,0.0,13.27,有,
桃園區,房地(土地+建物)+車位,經國路391~420號,10.85,都市：其他:住宅區,,,1091227,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831017,145.95,3,2,2,有,有,8730000,59815,坡道平面,0.0,0,陽台外推;,RPTNMLRJJHGGFAH87DA,73.16,2.25,8.98,有,
桃園區,房地(土地+建物)+車位,幸福路181~210號,18.41,都市：其他:住宅區,,,1091123,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,131.11,2,2,1,有,有,12600000,101616,坡道平面,25.32,1850000,,RPSSMLSJJHGGFAH38DA,62.88,3.8,4.34,有,
桃園區,房地(土地+建物)+車位,大華三街1~30號,37.3,都市：其他:住宅區,,,1091215,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831024,160.49,5,2,2,有,有,7600000,47355,升降平面,0.0,0,陽台外推;其他增建;,RPPTMLTKJHGGFAH38DA,108.85,0.68,11.34,有,001
桃園區,車位,大興西路二段241~270號,1.55,都市：其他:住宅區,,,1100111,土地1建物1車位1,地下一層,二十層,其他,見其他登記事項,鋼筋混凝土造,0841103,38.72,0,0,0,有,有,1500000,,坡道平面,38.72,1500000,僅車位交易;,RPPRMLOKJHGGFAH67DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),昆明路181~210號,26.2,都市：其他:住宅區,,,1100119,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741029,98.74,1,1,1,有,有,11500000,116467,,0.0,0,,RPTOMLQLJHGGFAH08DA,98.74,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,藝文一街61~90號,21.64,都市：其他:商業區,,,1091219,土地1建物1車位2,十九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090106,280.01,3,2,3,有,有,32380000,124019,坡道平面,54.4,4400000,,RPVUMLQLJHGGFAH88DA,129.49,0.0,19.75,有,
桃園區,房地(土地+建物)+車位,幸福路181~210號,23.01,都市：其他:住宅區,,,1091231,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,154.51,3,2,2,有,有,12850000,84338,坡道平面,23.49,1800000,,RPQNMLTLJHGGFAH97DA,78.71,2.5,6.77,有,
